,ssc_name,total_persons
0,New South Wales,7988241
1,AARONS PASS,22
2,ABBOTSBURY,4444
3,ABBOTSFORD,5803
4,ABERCROMBIE,1154
5,ABERCROMBIE RIVER,23
6,ABERDARE,2661
7,ABERDEEN,2119
8,ABERFOYLE,105
9,ABERGLASSLYN,5869
10,ABERMAIN,2511
11,ABERNETHY,358
12,ABINGTON,12
13,ACACIA CREEK,39
14,ACACIA GARDENS,3968
15,ADAMINABY,316
16,ADAMSTOWN,6226
17,ADAMSTOWN HEIGHTS,5459
18,ADELONG,928
19,ADJUNGBILLY,86
20,AFTERLEE,51
21,AGNES BANKS,950
22,AIRDS,3008
23,AKOLELE,180
24,ALBERT,82
25,ALBION PARK,14174
26,ALBION PARK RAIL,6930
27,ALBURY,4929
28,ALDAVILLA,1270
29,ALECTOWN,168
30,WAMBROOK,48
31,WANAARING,143
32,ALEXANDRIA,9440
33,ALFORDS POINT,3238
34,ALFREDTOWN,114
35,ALICE,10
36,ALISON (CENTRAL COAST),97
37,ALISON (DUNGOG),78
38,ALLAMBIE HEIGHTS,7536
39,ALLANDALE,78
40,ALLAWAH,6048
41,ALLEENA,59
42,ALLGOMERA,129
43,ALLWORTH,165
44,ALLYNBROOK,67
45,ALMA PARK,57
46,ALPINE,147
47,ALSTONVALE,472
48,ALSTONVILLE,6011
49,ALUMY CREEK,89
50,AMAROO,49
51,AMBARVALE,7600
52,ASHBY ISLAND,15
53,ASHCROFT,3791
54,ASHFIELD,25664
55,ASHFORD,636
56,AMOSFIELD,31
57,ANABRANCH NORTH,6
58,ANABRANCH SOUTH,40
59,ANAMBAH,34
60,ANDO,70
61,ANEMBO,74
62,ANGLEDALE,157
63,ANGLEDOOL,56
64,ANGLERS REACH,94
65,ANGOURIE,225
66,ANNA BAY,3924
67,ANNANDALE,10167
68,ANNANGROVE,1443
69,APPIN,2982
70,APPLE TREE FLAT,41
71,APPLEBY,39
72,APPLETREE FLAT,18
73,APSLEY,117
74,ARABLE,16
75,ARAKOON,432
76,ARALUEN,177
77,ARATULA,7
78,ARCADIA,1437
79,ARCADIA VALE,1391
80,ARDGLEN,62
81,ARDING,208
82,ARDLETHAN,581
83,ARGALONG,30
84,ARGENTON,1375
85,ARGENTS HILL,227
86,ARGOON,16
87,ARIAH PARK,502
88,ARKELL,47
89,ARKSTONE,24
90,ARMATREE,153
91,ARMIDALE,24504
92,ARNCLIFFE,12904
93,ARNDELL PARK,35
94,ARRAWARRA,543
95,ARRAWARRA HEADLAND,596
96,ARTARMON,10574
97,ARTHURVILLE,40
98,ARUMPO,35
99,ASHBURY,3632
100,ASHBY,331
101,ASHBY HEIGHTS,238
102,ASHLEY,377
103,ASHMONT,3966
104,ASHTONFIELD,4839
105,ASQUITH,3895
106,ATHOLWOOD,82
107,ATTUNGA,574
108,AUBURN,41505
109,AUBURN VALE,133
110,AUSTINMER,2670
111,AUSTRAL,3142
112,AUSTRAL EDEN,151
113,AVALON BEACH,10430
114,AVISFORD,28
115,AVOCA,214
116,AVOCA BEACH,4829
117,AVON,0
118,AVONDALE,1722
119,AVONSIDE,125
120,AWABA,415
121,AYLMERTON,205
122,BAAN BAA,168
123,BABINDA,3
124,BABYL CREEK,9
125,BACK CREEK (BLAND),51
126,BACK CREEK (GWYDIR),17
127,BACK CREEK (MID-COAST),20
128,BACK CREEK (QUEANBEYAN-PALERANG REGIONAL),12
129,BACK CREEK (TENTERFIELD),11
130,BACK CREEK (TWEED),13
131,BACK FOREST,86
132,BACKMEDE,151
133,BACKWATER,13
134,BADGERYS CREEK,224
135,BADJA,7
136,BAERAMI,68
137,BAERAMI CREEK,51
138,BAGNOO,41
139,BAGO,39
140,BAGOTVILLE,51
141,BAKERS CREEK (MID-COAST),38
142,BAKERS CREEK (NAMBUCCA),17
143,BAKERS CREEK (URALLA),13
144,BAKERS SWAMP,54
145,BALACLAVA,558
146,BALALA,142
147,BALCOLYN,1029
148,BALD BLAIR,49
149,BALD HILLS,273
150,BALD NOB,12
151,BALD RIDGE,6
152,BALDERSLEIGH,53
153,BALDRY,99
154,BALFOURS PEAK,38
155,BALGOWLAH,8532
156,BALGOWLAH HEIGHTS,3621
157,BALGOWNIE,5777
158,BALICKERA,25
159,BALLADORAN,110
160,BALLALABA,21
161,BALLDALE,162
162,BALLENGARRA,98
163,BALLIMORE,209
164,BALLINA,9117
165,BALLYROE,6
166,BALMAIN,11470
167,BALMAIN EAST,2131
168,BALMORAL (LAKE MACQUARIE),750
169,BALMORAL (WINGECARRIBEE),447
170,BALRANALD,1365
171,BAMARANG,28
172,BANDA BANDA,0
173,BANDON GROVE,123
174,BANGADANG,13
175,BANGALEE,685
176,BANGALOW,2211
177,BANGHEET,41
178,BANGO,100
179,BANGOR,5697
180,BANKSIA,3793
181,BANKSMEADOW,21
182,BANKSTOWN,34408
183,BANKSTOWN AERODROME,0
184,BANNABY,38
185,BANNISTER,125
186,BANOON,26
187,BANORA POINT,16619
188,BANYABBA,52
189,BAR BEACH,1419
190,BAR POINT,69
191,BARA,28
192,BARADINE,766
193,BARANGAROO,221
194,BARCOONGERE,0
195,BARDEN RIDGE,4443
196,BARDIA,1902
197,BARDWELL PARK,2418
198,BARDWELL VALLEY,2907
199,BARELLAN,552
200,BARGO,4551
201,BARHAM,1543
202,BASS HILL,9834
203,BASSENDEAN,2
204,BATAR CREEK,86
205,BATEAU BAY,12407
206,BATEHAVEN,1769
207,BATEMANS BAY,1583
208,BATHAMPTON,36
209,BATHURST,7226
210,BATLOW,1346
211,BAULKHAM HILLS,39827
212,BAW BAW,278
213,BAWLEY POINT,758
214,BAXTERS RIDGE,0
215,BAYVIEW,3877
216,BEACON HILL,7951
217,BEACONSFIELD,1188
218,BEAN CREEK,77
219,BEARBONG,59
220,BEAUMONT,130
221,BEAUMONT HILLS,10002
222,BECKOM,129
223,BECTIVE,216
224,BECTRIC,56
225,BEDGERABONG,153
226,BEECHWOOD,657
227,BEECROFT,10127
228,BARIGAN,6
229,BARKERS VALE,168
230,BARMEDMAN,464
231,BARNEYS REEF,0
232,BARNSLEY,1815
233,BAROOGA,1885
234,BARRABA,1457
235,BARRACK HEIGHTS,6125
236,BARRACK POINT,766
237,BARRAGANYATTI,143
238,BARRAGGA BAY,100
239,BARRATTA,3
240,BARREN GROUNDS,1
241,BARRENGARRY,203
242,BARRETTS CREEK,10
243,BARRINGELLA,32
244,BARRINGTON,377
245,BARRINGTON TOPS,1
246,BARRY (BLAYNEY),168
247,BARRY (UPPER HUNTER SHIRE),5
248,BARWANG,83
249,BARWON,32
250,BARYULGIL,97
251,BASIN VIEW,1644
252,BEECROFT PENINSULA,0
253,BEELBANGERA,415
254,BEEMUNNEL,13
255,BEGA,4791
256,BEGGAN BEGGAN,98
257,BELANGLO,26
258,BELBORA,125
259,BELFIELD,6645
260,BELFORD,187
261,BELFRAYDEN,31
262,BELGRAVIA,119
263,BELIMBLA PARK,632
264,BELL,49
265,BELLA VISTA,8460
266,BELLAMBI,4138
267,BELLANGRY,101
268,BELLATA,353
269,BELLAWONGARAH,131
270,BELLBIRD,2183
271,BELLBIRD HEIGHTS,832
272,BELLBROOK,278
273,BELLEVUE HILL,11644
274,BELLIMBOPINNI,119
275,BELLINGEN,3910
276,BELLMOUNT FOREST,123
277,BELLTREES,29
278,BELMONT,7369
279,BELMONT NORTH,6543
280,BELMONT SOUTH,1080
281,BELMORE,13602
282,BELMORE RIVER,274
283,BELOKA,21
284,BELOWRA,8
285,BELROSE,9183
286,BEMBOKA,574
287,BEN BULLEN,107
288,BEN LOMOND,153
289,BENANDARAH,174
290,BENDALONG,94
291,BENDEMEER,505
292,BENDICK MURRELL,157
293,BENDOLBA,218
294,BENDOURA,72
295,BENEREMBAH,135
296,BENGALLA,23
297,BENNETTS GREEN,11
298,BENOLONG,50
299,BENSVILLE,2639
300,BENTLEY,199
301,BERALA,9747
302,BERAMBING,110
303,BERESFIELD,3278
304,BERGALIA,177
305,BERKELEY,8068
306,BERKELEY VALE,8603
307,BERKSHIRE PARK,2216
308,BERLANG,0
